SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,85.5,88,83.65,84.1,84.25,83.45,93709,7952426.55,20-May-22,2017,INE144J01027
21STCENMGM,EQ,25.95,25.95,25.05,25.8,25.9,25.45,7472,192827.55,20-May-22,133,INE253B01015
3IINFOLTD,EQ,49.4,51,49,49.65,49.85,48.6,288911,14353277.6,20-May-22,3532,INE748C01038
3MINDIA,EQ,18380,18380,17950,17995.95,17965,18000.45,1854,33366304.85,20-May-22,878,INE470A01017
3PLAND,BE,14.65,14.65,13.65,14.3,14.4,14.1,5232,73623.85,20-May-22,38,INE105C01023
426GS2023,GS,93,99,93,99,99,97.5,32,3072,20-May-22,2,IN0020210046
574GS2026,GS,97.25,97.25,97.25,97.25,97.25,96.75,200,19450,20-May-22,2,IN0020210186
585GS2030,GS,94.5,94.5,94.5,94.5,94.5,94.5,1000,94500,20-May-22,1,IN0020200294
5PAISA,EQ,324.9,336.75,316.2,328.45,325,314,14439,4708622.3,20-May-22,653,INE618L01018
610GS2031,GS,97,97,94,94,94,97,1303,122489.91,20-May-22,5,IN0020210095
63MOONS,EQ,180.95,180.95,180.95,180.95,180.95,172.35,5601,1013500.95,20-May-22,92,INE111B01023
667GS2035,GS,96.95,96.95,95.55,96.67,96.85,93.32,3212,310509.3,20-May-22,4,IN0020210152
667GS2050,GS,93.5,94,93.02,94,94,93.97,5089,474778.15,20-May-22,13,IN0020200252
676GS2061,GS,94,94,93,93,93,93.5,1400,130248.01,20-May-22,11,IN0020200401
68GS2060,GS,94.75,94.75,94.5,94.5,94.5,94.25,139,13170,20-May-22,3,IN0020200187
695GS2061,GS,92,96.75,92,96.75,96.75,96.7,269,25140,20-May-22,3,IN0020210202
699GS2051,GS,97,97,96,96,96,96.87,1465,140904.44,20-May-22,9,IN0020210194
717GS2028,GS,109.3,109.3,109.3,109.3,109.3,115,5,546.5,20-May-22,1,IN0020170174
813GS2045,GS,117.5,117.5,117.5,117.5,117.5,117,22,2585,20-May-22,2,IN0020150044
A2ZINFRA,EQ,13.45,13.45,13.45,13.45,13.45,12.85,62751,844000.95,20-May-22,174,INE619I01012
AAKASH,EQ,19.7,19.8,18.3,18.4,18.3,19.25,94738,1783467.85,20-May-22,506,INE087Z01024
AAREYDRUGS,EQ,40.15,42.3,39.6,40,39.7,39.65,36021,1459927.25,20-May-22,638,INE198H01019
AARON,EQ,116.45,122,115.3,116.95,116.1,118.8,4840,569868.15,20-May-22,144,INE721Z01010
AARTIDRUGS,EQ,416,422,415.8,420.3,418.2,413.85,49335,20692538.05,20-May-22,2552,INE767A01016
AARTIIND,EQ,755,778.4,755,767.05,769.9,745,778026,597476170.3,20-May-22,25068,INE769A01020
AARTISURF,EQ,700.05,724.4,700.05,721.05,713,701.4,10633,7600316.75,20-May-22,942,INE09EO01013
AARVEEDEN,EQ,23.95,23.95,23.3,23.7,23.8,23.4,4940,117331.1,20-May-22,145,INE273D01019
